states,vote,year
Arizona,45.4,2016
Georgia,45.6,2016
Michigan,47.3,2016
Pennsilvanya,47.6,2016
Wisconsin,47,2016
Arizona,49.4,2020
Georgia,49.5,2020
Michigan,50.6,2020
Pennsilvanya,50,2020
Wisconsin,49.5,2020
